1,2,3,4,5,company_meter_id,time
165,343,116,97,363,3,1613574300
114,446,74,134,360,3,1613574600
383,187,169,179,40,3,1613574900
230,364,175,393,241,3,1613575200
238,389,59,71,279,3,1613575500
170,461,99,381,72,3,1613575800
296,307,113,137,124,3,1613576100
134,267,252,246,217,3,1613576400
400,205,210,381,210,3,1613576700
142,274,294,285,42,3,1613577000
305,179,104,338,339,3,1613577300
311,157,264,395,194,3,1613577600
246,210,51,152,363,3,1613577900
263,430,263,120,47,3,1613578200
179,146,119,342,101,3,1613578500
179,295,273,272,171,3,1613578800
240,316,176,237,272,3,1613579100
94,291,197,176,52,3,1613579400
257,165,72,252,281,3,1613579700
136,469,185,334,220,3,1613580000
182,388,294,362,294,3,1613580300
274,201,259,31,323,3,1613580600
232,383,287,153,86,3,1613580900
190,133,116,266,231,3,1613581200
172,399,288,248,216,3,1613581500
386,386,52,264,346,3,1613581800
282,162,289,325,369,3,1613582100
141,380,125,69,24,3,1613582400
147,266,163,51,250,3,1613582700
83,109,231,223,282,3,1613583000
170,159,113,102,310,3,1613583300
147,276,87,37,329,3,1613583600
115,151,216,355,89,3,1613583900
294,172,161,49,90,3,1613584200
349,435,224,104,299,3,1613584500
165,291,268,143,343,3,1613584800
365,427,244,30,220,3,1613585100
270,225,80,298,67,3,1613585400
355,462,297,395,292,3,1613585700
134,312,164,90,92,3,1613586000
71,379,190,304,231,3,1613586300
396,114,267,144,209,3,1613586600
62,364,136,191,155,3,1613586900
294,449,183,333,284,3,1613587200
173,295,182,207,142,3,1613587500
266,187,203,94,129,3,1613587800
362,371,219,340,310,3,1613588100
81,129,195,95,204,3,1613588400
197,187,61,87,306,3,1613588700
183,130,252,255,169,3,1613589000
67,439,194,110,70,3,1613589300
321,218,185,124,328,3,1613589600
288,247,168,291,392,3,1613589900
64,172,281,260,256,3,1613590200
102,377,234,241,122,3,1613590500
121,336,160,60,103,3,1613590800
141,344,98,229,125,3,1613591100
274,435,162,391,252,3,1613591400
52,103,284,360,320,3,1613591700
93,463,111,301,360,3,1613592000
135,370,144,103,44,3,1613592300
238,221,195,389,219,3,1613592600
221,368,155,300,381,3,1613592900
373,337,214,109,97,3,1613593200
328,206,158,362,154,3,1613593500
169,286,180,113,98,3,1613593800
313,298,149,252,108,3,1613594100
280,353,275,105,106,3,1613594400
386,132,169,239,334,3,1613594700
353,462,223,325,106,3,1613595000
361,354,104,51,91,3,1613595300
72,220,61,54,70,3,1613595600
309,126,169,220,383,3,1613595900
99,426,213,350,364,3,1613596200
232,420,86,314,250,3,1613596500
62,387,150,79,268,3,1613596800
200,137,156,169,263,3,1613597100
185,421,216,320,387,3,1613597400
242,120,242,100,319,3,1613597700
308,284,246,383,380,3,1613598000
198,148,203,184,189,3,1613598300
171,264,108,187,378,3,1613598600
74,331,215,310,205,3,1613598900
205,322,181,66,132,3,1613599200
188,386,293,266,346,3,1613599500
128,175,284,260,343,3,1613599800
216,487,170,248,90,3,1613600100
296,168,269,107,361,3,1613600400
124,302,201,131,372,3,1613600700
297,180,266,383,354,3,1613601000
353,168,174,356,188,3,1613601300
121,408,155,49,36,3,1613601600
74,446,233,237,118,3,1613601900
120,136,63,158,56,3,1613602200
121,159,144,391,190,3,1613602500
378,420,275,336,228,3,1613602800
394,293,245,217,273,3,1613603100
241,232,287,281,99,3,1613603400
82,364,139,83,154,3,1613603700
393,423,132,170,83,3,1613604000
143,149,248,235,248,3,1613604300
325,403,232,76,202,3,1613604600
270,260,263,315,241,3,1613604900
107,248,70,294,71,3,1613605200
279,109,76,298,98,3,1613605500
283,210,79,42,292,3,1613605800
255,422,128,159,79,3,1613606100
202,307,270,388,252,3,1613606400
183,408,56,285,397,3,1613606700
253,299,193,370,89,3,1613607000
79,310,145,162,383,3,1613607300
224,104,86,30,30,3,1613607600
400,343,124,339,25,3,1613607900
261,135,153,251,358,3,1613608200
375,279,129,209,393,3,1613608500
284,285,152,370,343,3,1613608800
274,168,126,49,64,3,1613609100
87,425,243,249,178,3,1613609400
90,353,157,80,373,3,1613609700
220,247,193,57,103,3,1613610000
122,343,112,150,332,3,1613610300
124,358,159,257,372,3,1613610600
155,190,133,222,329,3,1613610900
317,474,81,263,143,3,1613611200
118,105,64,303,214,3,1613611500
384,414,274,175,199,3,1613611800
265,402,293,274,370,3,1613612100
101,121,88,121,48,3,1613612400
395,395,143,281,380,3,1613612700
281,127,297,90,37,3,1613613000
362,358,234,42,69,3,1613613300
147,471,77,163,348,3,1613613600
381,480,253,174,161,3,1613613900
211,162,166,334,49,3,1613614200
133,495,165,170,219,3,1613614500
344,307,50,130,315,3,1613614800
96,247,196,355,139,3,1613615100
133,410,249,77,94,3,1613615400
355,452,248,125,92,3,1613615700
233,330,153,225,241,3,1613616000
119,329,218,229,281,3,1613616300
257,301,83,164,111,3,1613616600
155,331,82,311,187,3,1613616900
67,480,150,59,93,3,1613617200
354,391,67,182,368,3,1613617500
284,415,147,230,152,3,1613617800
156,446,152,217,349,3,1613618100
373,391,256,152,94,3,1613618400
231,456,282,93,258,3,1613618700
272,270,183,251,369,3,1613619000
244,391,298,316,130,3,1613619300
197,128,83,205,59,3,1613619600
178,189,68,159,378,3,1613619900
315,209,116,387,391,3,1613620200
213,300,155,57,119,3,1613620500
347,395,296,203,299,3,1613620800
186,361,84,122,194,3,1613621100
342,392,81,258,98,3,1613621400
236,497,268,57,249,3,1613621700
251,479,101,266,25,3,1613622000
140,277,111,133,346,3,1613622300
246,288,260,383,185,3,1613622600
206,134,83,46,199,3,1613622900
294,352,298,37,37,3,1613623200
248,180,173,71,191,3,1613623500
121,478,216,341,376,3,1613623800
182,315,139,154,226,3,1613624100
279,158,65,296,398,3,1613624400
84,331,156,120,51,3,1613624700
209,267,259,329,125,3,1613625000
54,208,274,254,97,3,1613625300
80,169,207,324,273,3,1613625600
117,395,109,30,230,3,1613625900
55,376,63,243,313,3,1613626200
181,389,191,227,72,3,1613626500
240,462,245,333,119,3,1613626800
400,227,255,389,69,3,1613627100
316,170,89,71,316,3,1613627400
89,154,263,334,82,3,1613627700
220,334,262,276,341,3,1613628000
82,156,168,89,310,3,1613628300
322,393,231,387,129,3,1613628600
230,354,293,107,70,3,1613628900
114,151,239,81,197,3,1613629200
385,279,293,394,137,3,1613629500
330,285,139,328,92,3,1613629800
225,196,111,380,173,3,1613630100
264,444,103,303,356,3,1613630400
331,396,204,96,212,3,1613630700
281,399,261,92,251,3,1613631000
361,357,260,392,277,3,1613631300
243,239,278,96,352,3,1613631600
252,377,291,201,159,3,1613631900
242,454,105,304,208,3,1613632200
162,377,275,298,28,3,1613632500
195,485,141,169,37,3,1613632800
137,369,139,247,189,3,1613633100
302,145,289,363,209,3,1613633400
310,130,285,313,199,3,1613633700
88,106,165,86,368,3,1613634000
128,334,238,346,275,3,1613634300
146,169,92,42,267,3,1613634600
294,329,216,142,382,3,1613634900
